#Motion tracking data recorded with Pytrak 0.2.0
time,sensor,x,y,z,quality
8,1,117.8719,-60.7219,-268.7836,1272.0
8,2,112.9605,-53.3549,-268.5604,988.0
8,3,119.8811,-90.4131,-277.7133,2024.0
10,1,117.8719,-60.7219,-268.7836,1272.0
10,2,112.9605,-53.3549,-268.5604,988.0
10,3,119.8811,-90.4131,-277.7133,2024.0
11,1,117.8719,-60.7219,-268.7836,1272.0
11,2,112.9605,-53.3549,-268.5604,988.0
11,3,119.8811,-90.4131,-277.7133,2024.0
13,1,117.8719,-60.7219,-268.7836,1272.0
13,2,112.9605,-53.3549,-268.5604,988.0
13,3,119.8811,-90.4131,-277.7133,2024.0
14,1,117.8719,-60.7219,-268.7836,1272.0
14,2,112.9605,-53.3549,-268.5604,988.0
14,3,119.8811,-90.4131,-277.7133,2024.0
15,1,117.8719,-60.7219,-268.7836,1272.0
15,2,112.9605,-53.3549,-268.5604,988.0
15,3,119.8811,-90.4131,-277.7133,2024.0
17,1,117.8719,-60.7219,-268.7836,1268.0
17,2,112.9605,-53.3549,-268.5604,988.0
17,3,119.8811,-90.4131,-277.7133,2024.0
18,1,117.8719,-60.7219,-268.7836,1268.0
18,2,112.9605,-53.3549,-268.5604,988.0
18,3,119.8811,-90.4131,-277.7133,2024.0
19,1,117.8719,-60.7219,-268.7836,1268.0
19,2,112.9605,-53.3549,-268.5604,988.0
19,3,119.8811,-90.4131,-277.7133,2024.0
21,1,117.8719,-60.7219,-268.7836,1268.0
21,2,112.9605,-53.3549,-268.5604,988.0
21,3,119.8811,-90.4131,-277.7133,2024.0
22,1,117.8719,-60.7219,-268.7836,1268.0
22,2,112.9605,-53.3549,-268.5604,988.0
22,3,119.8811,-90.4131,-277.7133,2024.0
25,1,117.8719,-60.7219,-268.7836,1268.0
25,2,112.9605,-53.3549,-268.5604,988.0
25,3,119.8811,-90.4131,-277.7133,2024.0
26,1,117.8719,-60.7219,-268.7836,1268.0
26,2,112.9605,-53.3549,-268.5604,988.0
26,3,119.8811,-90.1898,-277.7133,2024.0
28,1,117.8719,-60.7219,-268.7836,1268.0
28,2,112.9605,-53.3549,-268.5604,988.0
28,3,119.8811,-90.1898,-277.7133,2024.0
29,1,117.8719,-60.7219,-268.7836,1268.0
29,2,112.9605,-53.3549,-268.5604,988.0
29,3,119.8811,-90.1898,-277.7133,2024.0
30,1,117.8719,-60.7219,-268.7836,1268.0
30,2,112.9605,-53.3549,-268.5604,988.0
30,3,119.8811,-90.1898,-277.7133,2024.0
34,1,117.8719,-60.7219,-268.7836,1268.0
34,2,112.9605,-53.3549,-268.5604,988.0
34,3,119.8811,-90.1898,-277.7133,2024.0
37,1,117.8719,-60.7219,-268.7836,1268.0
37,2,112.9605,-53.3549,-268.5604,988.0
37,3,119.8811,-90.1898,-277.7133,2024.0
38,1,117.8719,-60.7219,-268.7836,1268.0
38,2,112.9605,-53.3549,-268.5604,988.0
38,3,119.8811,-90.1898,-277.7133,2024.0
40,1,117.8719,-60.7219,-268.7836,1268.0
40,2,112.9605,-53.3549,-268.5604,988.0
40,3,119.8811,-90.1898,-277.7133,2024.0
41,1,117.8719,-60.7219,-268.7836,1268.0
41,2,112.9605,-53.3549,-268.5604,988.0
41,3,119.8811,-90.1898,-277.7133,2024.0
43,1,117.8719,-60.7219,-268.7836,1268.0
43,2,112.9605,-53.3549,-268.5604,988.0
43,3,119.8811,-90.1898,-277.7133,2024.0
44,1,117.8719,-60.7219,-268.7836,1268.0
44,2,112.9605,-53.3549,-268.5604,988.0
44,3,119.8811,-90.1898,-277.7133,2024.0
45,1,117.8719,-60.7219,-268.7836,1268.0
45,2,112.9605,-53.3549,-268.5604,988.0
45,3,119.8811,-90.1898,-277.7133,2024.0
47,1,117.8719,-60.7219,-268.7836,1268.0
47,2,112.9605,-53.3549,-268.5604,988.0
47,3,119.8811,-90.1898,-277.7133,2024.0
49,1,117.8719,-60.7219,-268.7836,1268.0
49,2,112.9605,-53.3549,-268.5604,988.0
49,3,119.8811,-90.1898,-277.7133,2024.0
52,1,117.8719,-60.7219,-268.7836,1268.0
52,2,112.9605,-53.3549,-268.5604,988.0
52,3,119.8811,-90.1898,-277.7133,2024.0
54,1,117.8719,-60.7219,-268.7836,1268.0
54,2,112.9605,-53.3549,-268.5604,988.0
54,3,119.8811,-90.1898,-277.7133,2024.0
55,1,117.8719,-60.7219,-268.7836,1268.0
55,2,112.9605,-53.3549,-268.5604,988.0
55,3,119.8811,-90.1898,-277.7133,2024.0
58,1,117.8719,-60.7219,-268.7836,1268.0
58,2,112.9605,-53.3549,-268.5604,988.0
58,3,119.8811,-90.1898,-277.7133,2024.0
60,1,117.8719,-60.7219,-268.7836,1268.0
60,2,112.9605,-53.3549,-268.5604,988.0
60,3,119.8811,-90.1898,-277.7133,2024.0
63,1,117.8719,-60.7219,-268.7836,1268.0
63,2,112.9605,-53.3549,-268.5604,988.0
63,3,119.8811,-90.1898,-277.7133,2024.0
64,1,118.0951,-60.7219,-268.7836,1268.0
64,2,112.9605,-53.3549,-268.5604,988.0
64,3,119.8811,-90.1898,-277.7133,2024.0
66,1,118.0951,-60.7219,-268.7836,1268.0
66,2,112.9605,-53.3549,-268.5604,988.0
66,3,119.8811,-90.1898,-277.7133,2024.0
67,1,118.0951,-60.7219,-268.7836,1268.0
67,2,112.9605,-53.3549,-268.5604,988.0
67,3,119.8811,-90.1898,-277.7133,2024.0
69,1,118.0951,-60.7219,-268.7836,1268.0
69,2,112.9605,-53.3549,-268.5604,988.0
69,3,119.8811,-90.1898,-277.7133,2024.0
70,1,118.0951,-60.7219,-268.7836,1268.0
70,2,112.9605,-53.3549,-268.5604,988.0
70,3,119.8811,-90.1898,-277.7133,2024.0
74,1,118.0951,-60.7219,-268.7836,1268.0
74,2,112.9605,-53.3549,-268.5604,988.0
74,3,119.8811,-90.1898,-277.7133,2024.0
75,1,118.0951,-60.7219,-268.7836,1268.0
75,2,112.9605,-53.3549,-268.5604,988.0
75,3,119.8811,-90.1898,-277.7133,2024.0
77,1,118.0951,-60.7219,-268.7836,1268.0
77,2,112.9605,-53.3549,-268.5604,988.0
77,3,119.8811,-90.1898,-277.7133,2028.0
78,1,118.0951,-60.7219,-268.7836,1268.0
78,2,112.9605,-53.3549,-268.5604,988.0
78,3,119.8811,-90.1898,-277.7133,2028.0
79,1,118.0951,-60.7219,-268.7836,1268.0
79,2,112.9605,-53.3549,-268.5604,988.0
79,3,119.8811,-90.1898,-277.7133,2028.0
81,1,118.0951,-60.7219,-268.7836,1268.0
81,2,112.9605,-53.3549,-268.5604,988.0
81,3,119.8811,-90.1898,-277.7133,2028.0
82,1,118.0951,-60.7219,-268.7836,1268.0
82,2,112.9605,-53.3549,-268.5604,988.0
82,3,119.8811,-90.1898,-277.7133,2028.0
85,1,118.0951,-60.7219,-268.7836,1268.0
85,2,112.9605,-53.3549,-268.5604,988.0
85,3,119.8811,-90.1898,-277.7133,2028.0
86,1,118.0951,-60.7219,-268.7836,1268.0
86,2,112.9605,-53.3549,-268.5604,988.0
86,3,119.8811,-90.1898,-277.7133,2028.0
88,1,118.0951,-60.7219,-268.7836,1268.0
88,2,112.9605,-53.3549,-268.5604,988.0
88,3,119.8811,-90.1898,-277.7133,2028.0
89,1,118.0951,-60.7219,-268.7836,1268.0
89,2,112.9605,-53.3549,-268.5604,988.0
89,3,119.8811,-90.1898,-277.7133,2028.0
90,1,118.0951,-60.7219,-268.7836,1268.0
90,2,112.9605,-53.3549,-268.5604,988.0
90,3,119.8811,-90.1898,-277.7133,2028.0
92,1,118.0951,-60.7219,-268.7836,1268.0
92,2,112.9605,-53.3549,-268.5604,988.0
92,3,119.8811,-90.1898,-277.7133,2028.0
93,1,118.0951,-60.7219,-268.7836,1268.0
93,2,112.9605,-53.3549,-268.5604,988.0
93,3,119.8811,-90.1898,-277.7133,2028.0
94,1,118.0951,-60.7219,-268.7836,1268.0
94,2,112.9605,-53.3549,-268.5604,988.0
94,3,119.8811,-90.1898,-277.7133,2028.0
96,1,118.0951,-60.7219,-268.7836,1268.0
96,2,112.9605,-53.3549,-268.5604,988.0
96,3,119.8811,-90.1898,-277.7133,2028.0
97,1,118.0951,-60.7219,-268.7836,1268.0
97,2,112.9605,-53.3549,-268.5604,988.0
97,3,119.8811,-90.1898,-277.7133,2028.0
99,1,118.0951,-60.7219,-268.7836,1268.0
